t,value
1504495570,1351680
1504495571,1351680
1504495572,1351680
1504495573,1351680
1504495574,1351680
1504495575,1351680
1504495576,1351680
1504495577,1351680
1504495578,1351680
1504495663,1351680
1504495664,1351680
1504495665,1351680
1504495666,1351680
1504495667,1351680
1504495668,1351680
1504495669,1351680
1504495670,1351680
1504495671,1351680
1504495672,1351680
1504495673,1351680
1504495674,1351680
1504495675,1351680
1504495676,1351680
1504495722,1351680
1504495723,1351680
1504495724,1351680
1504495725,1351680
1504495726,1351680
1504495727,1351680
1504495728,1351680
1504495729,1351680
1504495730,1351680
1504495731,1351680
1504495732,1351680
1504495733,1351680
1504495734,1351680
1504495735,1351680
1504495736,1351680
1504495809,1351680
1504495810,1351680
1504495811,1351680
1504495812,1351680
1504495813,1351680
1504495814,1351680
1504495815,1351680
1504495816,1351680
1504495817,1351680
1504495818,1351680
1504495819,1351680
1504495820,1351680
1504502652,1351680
1504502653,1351680
1504502654,1351680
1504502655,1351680
1504502656,1351680
1504502657,1351680
1504502658,1351680
1504502659,1351680
1504502660,1351680
1504502661,1351680
1504502662,1351680
1504502663,1351680
1504502699,1351680
1504502700,1351680
1504502701,1351680
1504502702,1351680
1504502703,1351680
1504502704,1351680
1504502705,1351680
1504502706,1351680
1504502707,1351680
1504502708,1351680
1504502709,1351680
1504502710,1351680
1504503446,1351680
1504503447,1351680
1504503448,1351680
1504503449,1351680
1504503450,1351680
1504503451,1351680
1504503452,1351680
1504503453,1351680
1504503454,1351680
1504503455,1351680
1504503456,1351680
1504503457,1351680
1504510673,1351680
1504510674,1351680
1504510761,1351680
1504510765,1351680
1504510767,1351680
1504510767,1351680
1504510768,1351680
1504510774,1351680
1504510774,1351680
1504510774,1351680
1504510774,1351680
1504510774,1351680
1504510776,1351680
1504510776,1351680
1504510776,1351680
1504510776,1351680
1504510782,1351680
1504510782,1351680
1504510782,1351680
1504510782,1351680
1504510783,1351680
1504510784,1351680
1504510784,1351680
1504510785,1351680
1504510785,1351680
1504510785,1351680
1504510785,1351680
1504510785,1351680
1504510792,1351680
1504510792,1351680
1504510792,1351680
1504510792,1351680
1504510792,1351680
1504510792,1351680
1504510792,1351680
1504510792,1351680
1504510875,1351680
1504510884,1351680
1504510884,1351680
1504510884,1351680
1504510886,1351680
1504510886,1351680
1504510886,1351680
1504510888,1351680
1504510888,1351680
1504510890,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510897,1351680
1504510898,1351680
1504510900,1351680
1504510900,1351680
1504510915,1351680
1504510915,1351680
1504510916,1351680
1504510916,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504510917,1351680
1504513861,1351680
1504513863,1351680
1504513863,1351680
1504513864,1351680
1504513864,1351680
1504513868,1351680
1504513868,1351680
1504513869,1351680
1504513873,1351680
1504513873,1351680
1504513873,1351680
1504513873,1351680
1504513873,1351680
1504513873,1351680
1504513873,1351680
1504513874,1351680
1504514095,1351680
1504514096,1351680
1504514096,1351680
1504514097,1351680
1504514097,1351680
1504514097,1351680
1504514099,1351680
1504514103,1351680
1504514104,1351680
1504514104,1351680
1504514104,1351680
1504514104,1351680
1504514104,1351680
1504514105,1351680
1504514106,1351680
1504514107,1351680
1504514110,1351680
1504514110,1351680
1504514111,1351680
1504514114,1351680
1504514114,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514136,1351680
1504514173,1351680
1504514174,1351680
1504514174,1351680
1504514175,1351680
1504514175,1351680
1504514176,1351680
1504514176,1351680
1504514177,1351680
1504514183,1351680
1504514183,1351680
1504514183,1351680
1504514183,1351680
1504514183,1351680
1504514184,1351680
1504514184,1351680
1504514184,1351680
1504514184,1351680
1504514186,1351680
1504514186,1351680
1504514187,1351680
1504514188,1351680
1504514190,1351680
1504514190,1351680
1504514195,1351680
1504514195,1351680
1504514196,1351680
1504514202,1351680
1504514202,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514234,1351680
1504514352,1351680
1504514353,1351680
1504514353,1351680
1504514354,1351680
1504514354,1351680
1504514355,1351680
1504514355,1351680
1504514356,1351680
1504514357,1351680
1504514358,1351680
1504514358,1351680
1504514358,1351680
1504514362,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504514385,1351680
1504524621,2671680
1504524622,2671680
1504524623,2671680
1504524624,2671680
1504529654,1351680
1504529655,1351680
1504529656,1351680
1504529743,1351680
1504529747,1351680
1504529747,1351680
1504529748,1351680
1504529748,1351680
1504529749,1351680
1504529749,1351680
1504529750,1351680
1504529756,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529793,1351680
1504529815,1351680
1504529816,1351680
1504529816,1351680
1504529817,1351680
1504529817,1351680
1504529820,1351680
1504529821,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529827,1351680
1504529833,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529843,1351680
1504529859,1351680
1504529864,1351680
1504529864,1351680
1504529865,1351680
1504529865,1351680
1504529865,1351680
1504529866,1351680
1504529866,1351680
1504529870,1351680
1504529870,1351680
1504529870,1351680
1504529870,1351680
1504529873,1351680
1504529873,1351680
1504529873,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529887,1351680
1504529890,1351680
1504529892,1351680
1504529900,1351680
1504529963,1351680
1504529974,1351680
1504529974,1351680
1504529974,1351680
1504530002,1351680
1504530003,1351680
1504530015,1351680
1504530017,1351680
1504530020,1351680
1504530020,1351680
1504530020,1351680
1504530021,1351680
1504530027,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530151,1351680
1504530285,66502656
1504530286,66502656
1504530286,66502656
1504530286,66502656
1504530286,66502656
1504530287,66502656
1504530288,66502656
1504530291,66502656
1504530291,66502656
1504530291,66502656
1504530297,66502656
1504530299,66502656
1504530307,66502656
1504530313,66502656
1504530329,66502656
1504530329,66502656
1504530333,66502656
1504530338,66502656
1504530342,66502656
1504530342,66502656
1504530343,66502656
1504530346,66502656
1504530346,66502656
1504530347,66502656
1504530348,66502656
1504530349,66502656
1504530351,66502656
1504530352,66502656
1504530353,66502656
1504530354,66502656
1504530355,66502656
1504530355,66502656
1504530355,66502656
1504530361,66502656
1504530362,66502656
1504530363,66502656
1504530363,66502656
1504530363,66502656
1504530364,66502656
1504530364,66502656
1504530365,66502656
1504530365,66502656
1504530368,66502656
1504530369,66502656
1504530380,66502656
1504530393,66502656
1504530394,66502656
1504530411,66502656
1504530412,66502656
1504530412,66502656
1504530412,66502656
1504530413,66502656
1504530414,66502656
1504530415,66502656
1504530421,66502656
1504530424,66502656
1504530424,66502656
1504530425,66502656
1504530425,66502656
1504530426,66502656
1504530427,66502656
1504530427,66502656
1504530430,66502656
1504530430,66502656
1504530431,66502656
1504530434,66502656
1504530457,66502656
1504530458,66502656
1504530459,66502656
1504530510,66502656
1504530511,66502656
1504530511,66502656
1504530511,66502656
1504530512,66502656
1504530512,66502656
1504530525,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530528,66502656
1504530529,66502656
1504530532,66502656
1504530539,66502656
1504530550,66502656
1504530551,66502656
1504530551,66502656
1504530551,66502656
1504530552,66502656
1504530552,66502656
1504530553,66502656
1504530553,66502656
1504530555,66502656
1504530556,66502656
1504530556,66502656
1504530556,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504530615,66502656
1504531185,66502656
1504531186,66502656
1504531186,66502656
1504531186,66502656
1504531187,66502656
1504531187,66502656
1504531189,66502656
1504531189,66502656
1504531190,66502656
1504531195,66502656
1504531195,66502656
1504531195,66502656
1504531195,66502656
1504531195,66502656
1504531195,66502656
1504531199,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531381,66502656
1504531454,66502656
1504531455,66502656
1504531456,66502656
1504531457,66502656
1504531458,66502656
1504531459,66502656
1504531460,66502656
1504531461,66502656
1504531462,66502656
1504531463,66502656
1504531464,66502656
1504531465,66502656
1504531466,66502656
1504531467,66502656
1504531468,66502656
1504531469,66502656
1504531470,66502656
1504531471,66502656
1504531534,66502656
1504531535,66502656
1504531536,66502656
1504531537,66502656
1504531538,66502656
1504531539,66502656
1504531540,66502656
1504531541,66502656
1504531542,66502656
1504531543,66502656
1504531544,66502656
1504531545,66502656
1504531546,66502656
1504531547,66502656
1504531548,66502656
1504531549,66502656
1504531550,66502656
1504531551,66502656
1504531762,66502656
1504531763,66502656
1504531764,66502656
1504531764,66502656
1504531794,66502656
1504531794,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531795,66502656
1504531796,66502656
1504531796,66502656
1504531799,66502656
1504531799,66502656
1504531827,66502656
1504531827,66502656
1504531830,66502656
1504531830,66502656
1504531830,66502656
1504531832,66502656
1504531833,66502656
1504531833,66502656
1504531838,66502656
1504531838,66502656
1504531840,66502656
1504531840,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504531856,66502656
1504532235,6045696
1504532236,6045696
1504532237,6045696
1504532295,6045696
1504532295,6045696
1504532295,6045696
1504532298,6045696
1504532298,6045696
1504532300,6045696
1504532300,6045696
1504532300,6045696
1504532300,6045696
1504532304,6045696
1504532304,6045696
1504532304,6045696
1504532304,6045696
1504532370,6045696
1504532371,6045696
1504532437,6045696
1504532438,6045696
1504532439,6045696
1504532440,6045696
1504532441,6045696
1504532442,6045696
1504532443,6045696
1504532444,6045696
1504532445,6045696
1504532446,6045696
1504532447,6045696
1504532448,6045696
1504532449,6045696
1504532450,6045696
1504532451,6045696
1504532452,6045696
1504532453,6045696
1504532454,6045696
1504532488,6045696
1504532489,6045696
1504532490,6045696
1504532546,6045696
1504532547,6045696
1504532548,6045696
1504532991,6045696
1504532992,6045696
1504532993,6045696
1504532994,6045696
1504532995,6045696
1504532996,6045696
1504532997,6045696
1504532998,6045696
1504532999,6045696
1504533000,6045696
1504533001,6045696
1504533002,6045696
1504533003,6045696
1504533004,6045696
1504533005,6045696
1504533006,6045696
1504533007,6045696
1504533008,6045696
1504533571,6045696
1504533572,6045696
1504533573,6045696
1504533574,6045696
1504533575,6045696
1504533576,6045696
1504533577,6045696
1504533578,6045696
1504533579,6045696
1504533580,6045696
1504533581,6045696
1504533582,6045696
1504533583,6045696
1504533584,6045696
1504533585,6045696
1504533586,6045696
1504533587,6045696
1504533588,6045696
1504534337,6045696
1504534338,6045696
1504534339,6045696
1504534340,6045696
1504534341,6045696
1504534342,6045696
1504534343,6045696
1504534344,6045696
1504534345,6045696
1504534346,6045696
1504534347,6045696
1504534348,6045696
1504534349,6045696
1504534350,6045696
1504534351,6045696
1504534352,6045696
1504534353,6045696
1504589992,1007616
1504589993,1007616
1504589994,1007616
1504589995,1007616
1504589996,1007616
1504589997,1007616
1504589998,1007616
1504589999,1007616
1504590000,1007616
1504590001,1007616
1504590002,1007616
1504590003,1007616
1504590004,1007616
1504590005,1007616
1504590006,1007616
1504590007,1007616
1504590008,1007616
1504590009,1007616
1504590010,1007616
1504590011,1007616
1504590012,1007616
1504590013,1007616
1504590014,1007616
1504590015,1007616
1504590016,1007616
1504590017,1007616
1504590018,1007616
1504590019,1007616
1504590020,1007616
1504590021,1007616
1504590022,1007616
1504590023,1007616
1504590024,1007616
1504590025,1007616
1504590026,1007616
1504592614,1007616
1504592615,1007616
1504592616,1007616
1504592617,1007616
1504592618,1007616
1504592619,1007616
1504592620,1007616
1504592621,1007616
1504592622,1007616
1504592623,1007616
1504592624,1007616
1504592625,1007616
1504592626,1007616
1504592627,1007616
1504592628,1007616
1504592629,1007616
1504592630,1007616
1504592631,1007616
1504592671,1007616
1504592672,1007616
1504592673,1007616
1504592674,1007616
1504592675,1007616
1504592676,1007616
1504592677,1007616
1504592678,1007616
1504592679,1007616
1504592680,1007616
1504592681,1007616
1504592682,1007616
1504592683,1007616
1504592684,1007616
1504592685,1007616
1504592686,1007616
1504592687,1007616
1504592688,1007616
1504592689,1007616
1504592690,1007616
1504592691,1007616
1504592692,1007616
1504592693,1007616
1504592694,1007616
1504592695,1007616
1504592696,1007616
1504592697,1007616
1504592698,1007616
1504592699,1007616
1504592700,1007616
1504592701,1007616
1504592702,1007616
1504592703,1007616
1504592704,1007616
1504592904,1007616
1504592905,1007616
1504592906,1007616
1504592907,1007616
1504592908,1007616
1504592909,1007616
1504592910,1007616
